date,state,sentiment
20200924,AK,0
20200925,AK,0
20200926,AK,0
20200927,AK,0
20200928,AK,0
20200929,AK,0
20200930,AK,0
20201001,AK,0
20201002,AK,0
20201003,AK,0
20201004,AK,0
20201005,AK,0
20201006,AK,0
20201007,AK,0
20201008,AK,0
20201009,AK,0
20201010,AK,0
20201011,AK,0
20201012,AK,0
20201013,AK,0
20201014,AK,0
20201015,AK,0
20201016,AK,0
20201017,AK,0
20201018,AK,0
20201019,AK,0
20201020,AK,0
20201021,AK,0
20201022,AK,0
20201023,AK,0
20201024,AK,0
20201025,AK,0
20201026,AK,0
20201027,AK,0
20201028,AK,0
20201029,AK,0
20201030,AK,0
20201031,AK,0
20201101,AK,0
20201102,AK,0
20201103,AK,0
20201104,AK,0
20201105,AK,0
20201106,AK,0
20201107,AK,0
20201108,AK,0
20201109,AK,0
20201110,AK,0
20201111,AK,0
20201112,AK,0
20201113,AK,0
20201114,AK,0
20201115,AK,0
20201116,AK,0
20201117,AK,0
20201118,AK,0
20201119,AK,0
20201120,AK,0
20201121,AK,0
20201122,AK,0
20201123,AK,0
20201124,AK,0
20201125,AK,0
20201126,AK,0
20201127,AK,0
20201128,AK,0
20201129,AK,0
20201130,AK,0
20201201,AK,0
20201202,AK,0
20201203,AK,0
20201204,AK,0
20201205,AK,0
20201206,AK,0
20201207,AK,0
20201208,AK,0
20201209,AK,0
20201210,AK,0
20201211,AK,0
20201212,AK,0
20201213,AK,0
20201214,AK,0
20201215,AK,0
20201216,AK,0
20201217,AK,0
20201218,AK,0
20201219,AK,0
20201220,AK,0
20201221,AK,0
20201222,AK,0
20201223,AK,0
20201224,AK,0
20201225,AK,0
20201226,AK,0
20201227,AK,0
20201228,AK,0
20201229,AK,0
20201230,AK,0
20210101,AK,0
20210102,AK,0
20210103,AK,0
20210104,AK,0
20210105,AK,0
20210106,AK,0
20210107,AK,0
20210108,AK,0
20210109,AK,0
20210110,AK,0
20210111,AK,0
20210112,AK,0
20210113,AK,0
20210114,AK,0
20210115,AK,0
20210116,AK,0
20210117,AK,0
20210118,AK,0
20210119,AK,0
20210120,AK,0
20210121,AK,0
20210122,AK,0
20210123,AK,0
20210124,AK,0
20210125,AK,0
20210126,AK,0
20210127,AK,0
20210128,AK,0
20210129,AK,0
20210130,AK,0
20210131,AK,0
20210201,AK,0
20210202,AK,0
20210203,AK,0
20210204,AK,0
20210205,AK,0
20210206,AK,0
20210207,AK,0
20210208,AK,0
20210209,AK,0
20210210,AK,0
20210211,AK,0
20210212,AK,0
20210213,AK,0
20210214,AK,0
20210215,AK,0
20210216,AK,0
20210217,AK,0
20210218,AK,0
20210219,AK,0
20210220,AK,0
20210221,AK,0
20210222,AK,0
20210223,AK,0
20210224,AK,0
20210225,AK,0
20210226,AK,0
20210227,AK,0
20210228,AK,0
20210301,AK,0
20210302,AK,0
20210303,AK,0
20210304,AK,0
20210305,AK,0
20210306,AK,0
20210307,AK,0
20210308,AK,0
20210309,AK,0
20210310,AK,0
20210311,AK,0
20210312,AK,0
20210313,AK,0
20210314,AK,0
20210315,AK,0
20210316,AK,0
20210317,AK,0
20210318,AK,0
20210319,AK,0
20210320,AK,0
20210321,AK,0
20210322,AK,0
20200320,AL,0.8591
20200321,AL,0.550666667
20200322,AL,0.471225
20200323,AL,0
20200324,AL,0
20200325,AL,0
20200326,AL,-0.4341
20200327,AL,0.2263
20200328,AL,0
20200330,AL,0
20200331,AL,0.2202
20200401,AL,-0.1697
20200402,AL,0
20200403,AL,0
20200404,AL,0.1543
20200405,AL,0
20200406,AL,0.492966667
20200407,AL,0.7783
20200408,AL,0.9473
20200409,AL,0
20200410,AL,0
20200411,AL,0
20200412,AL,0
20200413,AL,0
20200414,AL,0
20200415,AL,0
20200416,AL,0
20200417,AL,0.28935
20200418,AL,0.967
20200419,AL,0
20200420,AL,0.46075
20200421,AL,0
20200422,AL,0.9856
20200423,AL,0.687966667
20200424,AL,0
20200425,AL,0.8436
20200426,AL,0
20200427,AL,0.673033333
20200428,AL,0
20200429,AL,0.4215
20200430,AL,0
20200501,AL,0.12585
20200502,AL,0.199425
20200503,AL,0.465575
20200504,AL,-0.3182
20200505,AL,0
20200506,AL,0.5884
20200507,AL,0.6465
20200508,AL,0.6597
20200509,AL,0
20200510,AL,0
20200511,AL,0
20200512,AL,0
20200513,AL,0.630066667
20200514,AL,0.144666667
20200515,AL,0.6209
20200516,AL,0.9595
20200517,AL,0.17
20200518,AL,0.4454
20200519,AL,0
20200520,AL,0.444033333
20200521,AL,0.7906
20200522,AL,0.45575
20200523,AL,-0.12705
20200524,AL,0
20200525,AL,0
20200526,AL,0.71725
20200527,AL,0.1181
20200528,AL,0
20200529,AL,0.7536
20200530,AL,0.6652
20200531,AL,-0.00245
20200601,AL,0
20200602,AL,0
20200603,AL,-0.0344
20200604,AL,0.7783
20200605,AL,0.273666667
20200606,AL,0.8555
20200607,AL,0.58965
20200608,AL,-0.3515
20200609,AL,0.8957
20200610,AL,0.42165
20200611,AL,0
20200612,AL,0
20200613,AL,0
20200614,AL,0
20200615,AL,0.45205
20200616,AL,0.54745
20200617,AL,0.296
20200618,AL,0
20200619,AL,0.19792
20200620,AL,0
20200621,AL,0.429
20200622,AL,0.025566667
20200623,AL,0.71645
20200624,AL,-0.034133333
20200625,AL,0.493825
20200626,AL,0.67005
20200627,AL,-0.30665
20200628,AL,0.51985
20200629,AL,0.127266667
20200630,AL,0.285366667
20200701,AL,0.45842
20200702,AL,0.29295
20200703,AL,-0.07655
20200704,AL,0.364133333
20200705,AL,0.4075
20200706,AL,0.2373
20200707,AL,0.728566667
20200708,AL,-0.060166667
20200709,AL,0.345
20200710,AL,0.14696
20200711,AL,0.59455
20200712,AL,0.16075
20200713,AL,0.336725
20200714,AL,0.190866667
20200715,AL,0.864366667
20200716,AL,0.554966667
20200717,AL,-0.555
20200718,AL,0.421075
20200719,AL,0.1366
20200720,AL,0.2743
20200721,AL,0.791225
